id,client_id,client_name,artisan_id,artisan_name,service_type,description,city,price,rating,latitude,longitude,created_at,updated_at,commune
13,CL-1247,User_1247,2530,Sarah_2530,Restauration de vêtements,Réparation et retouche de vêtements.,Skikda,11018,3.5,36.9949643,6.3424894,2026-02-27 01:19:24,2026-03-01 01:19:24,Ouled Attia
14,CL-0349,User_0349,4908,Manal_4908,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,3065,3.6,37.0065806,6.5690345,2026-07-16 02:03:50,2026-08-10 02:03:50,Collo
15,CL-0514,User_0514,893,Manal_893,Aide-Ménagère Spécialisée,Services ménagers spécialisés.,Skikda,12323,3.5,37.0310788,7.2566883,2026-01-07 07:15:30,2026-01-30 07:15:30,El Marsa
16,CL-1743,User_1743,4972,Sofiane_4972,Carreleur,Pose et réparation de carrelage.,Skikda,5253,3.6,36.7044252,6.8563693,2026-06-12 19:09:24,2026-07-08 19:09:24,Salah Bouchaour
17,CL-1432,User_1432,514,Zohra_514,Soutien Scolaire,Cours de soutien et accompagnement scolaire.,Skikda,2248,3.7,36.7051396,6.8043312,2026-08-17 17:36:01,2026-08-26 17:36:01,Emdjez Edchich
18,CL-1196,User_1196,1574,Ilyes_1574,Peintre,Travaux de peinture intérieure et extérieure.,Skikda,12469,3.4,36.8168179,6.780452,2026-06-18 21:58:28,2026-06-24 21:58:28,Bouchtata
19,CL-1074,User_1074,173,Adem_173,Réparation Électroménager,Réparation d'appareils électroménagers.,Skikda,13999,3.6,37.0090418,6.2844786,2026-03-23 16:22:25,2026-03-27 16:22:25,Kheneg Mayoum
20,CL-1902,User_1902,352,Kenza_352,Coiffure à Domicile,Coiffure à domicile.,Skikda,11178,3.0,36.7792138,7.1724216,2026-09-13 02:04:25,2026-09-27 02:04:25,Djendel Saadi Mohamed
21,CL-0320,User_0320,3706,Lamia_3706,Fabrication de parfums,Création artisanale de parfums.,Skikda,11496,3.0,36.8013181,6.461086944444444,2026-07-30 10:40:23,2026-08-03 10:40:23,Aïn Kechra
22,CL-0290,User_0290,2222,Lamia_2222,Restauration de vêtements,Réparation et retouche de vêtements.,Skikda,11719,3.3,36.6195945,7.0645888,2026-11-20 21:57:42,2026-11-28 21:57:42,Es Sebt
23,CL-1159,User_1159,3306,Linda_3306,Décorateur d'intérieur,Aménagement et décoration intérieure.,Skikda,2647,3.4,36.4916761,6.939741,2026-04-06 00:02:21,2026-04-22 00:02:21,Ouled Hbaba
24,CL-1173,User_1173,1925,Houda_1925,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,7008,3.1,36.8013181,6.461086944444444,2026-12-10 12:46:21,2026-12-16 12:46:21,Aïn Kechra
25,CL-1505,User_1505,4969,Lotfi_4969,Charpentier,Travaux de charpente et structure.,Skikda,10064,3.7,36.8200545,6.3880209,2026-11-10 02:37:53,2026-11-13 02:37:53,Ouldja Boulballout
26,CL-0854,User_0854,689,Hakim_689,Réparation Électroménager,Réparation d'appareils électroménagers.,Skikda,2192,3.1,36.7051396,6.8043312,2026-12-17 13:31:35,2026-12-31 18:00:00,Emdjez Edchich
27,CL-0153,User_0153,2122,Salim_2122,Menuisier,Fabrication et pose d'ouvrages en bois.,Skikda,3228,4.6,36.8441177,6.929106,2026-05-27 11:39:42,2026-06-04 11:39:42,Hamadi Krouma
28,CL-0489,User_0489,2783,Fatima_2783,Coiffure à Domicile,Coiffure à domicile.,Skikda,2292,4.7,36.9124122,6.4762934,2026-08-25 03:31:44,2026-09-24 03:31:44,Beni Zid
29,CL-0501,User_0501,1486,Ryad_1486,Serrurier,"Ouverture, pose et dépannage de serrures.",Skikda,11019,4.1,36.6939025,7.3105409,2026-08-22 20:17:33,2026-09-09 20:17:33,Bekkouche Lakhdar
30,CL-1752,User_1752,653,Mustapha_653,Piscines (Constructeur/Maintenance),Construction et entretien de piscines.,Skikda,3445,4.5,36.4916761,6.939741,2026-01-12 19:12:21,2026-01-23 19:12:21,Ouled Hbaba
31,CL-0133,User_0133,3368,Sofiane_3368,Vitrailler / Miroitier,Pose et réparation de vitres et miroirs.,Skikda,2119,4.2,36.8992518,6.7934365,2026-05-01 06:27:12,2026-05-15 06:27:12,Aïn Zouit
32,CL-1554,User_1554,3630,Fouad_3630,Serrurier,"Ouverture, pose et dépannage de serrures.",Skikda,5765,4.2,36.9304439,6.5842202,2026-02-16 14:05:55,2026-02-27 14:05:55,Kerkera
33,CL-0093,User_0093,3677,Zinedine_3677,Carreleur,Pose et réparation de carrelage.,Skikda,1995,4.3,36.7331778,7.2219657,2026-12-26 15:15:07,2026-12-31 18:00:00,Aïn Charchar
34,CL-0448,User_0448,4163,Adel_4163,Maçon,Travaux de maçonnerie générale.,Skikda,13143,4.1,36.6195945,7.0645888,2026-05-20 16:45:51,2026-05-26 16:45:51,Es Sebt
35,CL-1501,User_1501,4822,Mohamed_4822,Soudeur (Ferronnier),Travaux de soudure et ferronnerie.,Skikda,12847,3.4,36.8081951,6.5668371,2026-05-01 22:24:27,2026-05-04 22:24:27,Bin El Ouiden
36,CL-1480,User_1480,1584,Ali_1584,Charpentier,Travaux de charpente et structure.,Skikda,5843,4.6,36.7044252,6.8563693,2026-09-06 10:16:41,2026-09-15 10:16:41,Salah Bouchaour
37,CL-1141,User_1141,1550,Tahar_1550,Serrurier,"Ouverture, pose et dépannage de serrures.",Skikda,12642,4.3,37.0310788,7.2566883,2026-03-30 20:21:58,2026-04-23 20:21:58,El Marsa
38,CL-0180,User_0180,537,Fiza_537,Esthéticienne à Domicile,Soins esthétiques à domicile.,Skikda,2082,4.3,36.4916761,6.939741,2026-11-12 13:01:47,2026-11-28 13:01:47,Ouled Hbaba
39,CL-1792,User_1792,4106,Kamel_4106,Jardinier / Paysagiste,Entretien et aménagement des espaces verts.,Skikda,3488,3.8,36.7331778,7.2219657,2026-08-20 07:11:06,2026-09-10 07:11:06,Aïn Charchar
40,CL-0008,User_0008,612,Fayçal_612,Charpentier,Travaux de charpente et structure.,Skikda,7299,3.8,36.7044252,6.8563693,2026-07-08 12:04:22,2026-07-22 12:04:22,Salah Bouchaour
41,CL-1034,User_1034,2309,Salah_2309,Ébéniste,Création et restauration de meubles.,Skikda,12482,3.4,36.8013181,6.461086944444444,2026-02-01 09:52:39,2026-02-27 09:52:39,Aïn Kechra
42,CL-0264,User_0264,958,Chafik_958,Chauffagiste,Installation et entretien de chauffage.,Skikda,11822,3.4,36.7558331,6.9259068,2026-05-03 12:39:57,2026-05-05 12:39:57,Ramdane Djamel
43,CL-0373,User_0373,614,Mohamed_614,Maçon,Travaux de maçonnerie générale.,Skikda,12267,4.4,36.8081951,6.5668371,2026-06-16 15:46:24,2026-06-17 15:46:24,Bin El Ouiden
44,CL-1653,User_1653,4718,Fouad_4718,Maçon,Travaux de maçonnerie générale.,Skikda,13871,4.9,36.687176,6.9771347,2026-11-06 14:22:46,2026-12-06 14:22:46,El Ghedir
45,CL-1065,User_1065,148,Asma_148,Soutien Scolaire,Cours de soutien et accompagnement scolaire.,Skikda,10378,4.5,36.7044252,6.8563693,2026-03-24 11:27:55,2026-04-17 11:27:55,Salah Bouchaour
46,CL-0542,User_0542,394,Noureddine_394,Chauffagiste,Installation et entretien de chauffage.,Skikda,8859,3.3,36.8441177,6.929106,2026-06-27 18:17:24,2026-07-07 18:17:24,Hamadi Krouma
47,CL-1945,User_1945,131,Ryad_131,Jardinier / Paysagiste,Entretien et aménagement des espaces verts.,Skikda,4707,3.9,36.8992518,6.7934365,2026-07-17 07:39:00,2026-08-13 07:39:00,Aïn Zouit
48,CL-1936,User_1936,3123,Walid_3123,Jardinier / Paysagiste,Entretien et aménagement des espaces verts.,Skikda,6558,3.1,36.9124122,6.4762934,2026-07-08 18:27:34,2026-07-23 18:27:34,Beni Zid
49,CL-1305,User_1305,4840,Dalila_4840,Fabrication de parfums,Création artisanale de parfums.,Skikda,12595,5.0,36.7051396,6.8043312,2026-02-25 05:44:31,2026-03-10 05:44:31,Emdjez Edchich
50,CL-0435,User_0435,4682,Lotfi_4682,Jardinier / Paysagiste,Entretien et aménagement des espaces verts.,Skikda,2780,3.9,36.8013181,6.461086944444444,2026-09-05 03:22:54,2026-09-28 03:22:54,Aïn Kechra
51,CL-1033,User_1033,4622,Chafik_4622,Menuisier,Fabrication et pose d'ouvrages en bois.,Skikda,3002,4.8,36.8976496,7.0548176,2026-01-05 16:09:50,2026-01-12 16:09:50,Filfila
52,CL-1262,User_1262,2738,Sami_2738,Électricien,Installation et maintenance électrique.,Skikda,8900,3.5,36.6439118,6.6281274,2026-06-14 04:58:52,2026-07-12 04:58:52,Beni Oulbane
53,CL-1363,User_1363,4668,Fiza_4668,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,12076,4.0,36.6195945,7.0645888,2026-07-08 05:06:42,2026-07-30 05:06:42,Es Sebt
54,CL-0668,User_0668,4016,Linda_4016,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,7671,3.1,36.8200545,6.3880209,2026-04-04 19:40:37,2026-04-22 19:40:37,Ouldja Boulballout
55,CL-1642,User_1642,773,Badr_773,Soudeur (Ferronnier),Travaux de soudure et ferronnerie.,Skikda,11586,3.3,36.7044252,6.8563693,2026-10-10 18:29:43,2026-10-26 18:29:43,Salah Bouchaour
56,CL-1288,User_1288,917,Hiba_917,Nettoyage professionnel (Spécialisé),Nettoyage spécialisé pour particuliers et entreprises.,Skikda,12034,3.5,36.9097648,6.3403579,2026-05-07 02:32:16,2026-05-24 02:32:16,Oued Zehour
57,CL-0405,User_0405,4829,Farouk_4829,Carreleur,Pose et réparation de carrelage.,Skikda,1913,3.0,36.8976496,7.0548176,2026-09-19 12:04:40,2026-09-24 12:04:40,Filfila
58,CL-0342,User_0342,4391,Wissal_4391,Organisation d'événements,Planification et gestion d'événements.,Skikda,12398,3.7,36.8992518,6.7934365,2026-03-22 04:03:21,2026-04-12 04:03:21,Aïn Zouit
59,CL-1987,User_1987,2700,Ilyes_2700,Antenniste,Installation et réglage d'antennes.,Skikda,2420,4.5,36.8976496,7.0548176,2026-12-11 12:41:02,2026-12-25 12:41:02,Filfila
60,CL-0997,User_0997,16,Adem_16,Carreleur,Pose et réparation de carrelage.,Skikda,4605,4.3,36.9888886,6.4592299,2026-01-07 18:13:41,2026-01-30 18:13:41,Zitouna
61,CL-0991,User_0991,3099,Malika_3099,Cosmétiques (Crèmes hydratantes),Fabrication de cosmétiques artisanaux.,Skikda,13585,4.8,36.8081951,6.5668371,2026-06-24 04:34:04,2026-07-15 04:34:04,Bin El Ouiden
62,CL-1036,User_1036,1137,Imad_1137,Charpentier,Travaux de charpente et structure.,Skikda,9181,3.3,36.7388133,7.1062378,2026-02-21 05:28:56,2026-03-16 05:28:56,Azzaba
63,CL-1032,User_1032,229,Nabil_229,Étanchéiste,Traitement et protection contre les infiltrations.,Skikda,6610,4.6,36.9097648,6.3403579,2026-07-25 13:40:17,2026-08-03 13:40:17,Oued Zehour
64,CL-0512,User_0512,3698,Marouane_3698,Peintre,Travaux de peinture intérieure et extérieure.,Skikda,8526,3.5,36.6939025,7.3105409,2026-08-19 16:56:40,2026-08-29 16:56:40,Bekkouche Lakhdar
65,CL-0004,User_0004,966,Bilal_966,Plâtrier / Staffeur,Finition murale et décoration en plâtre.,Skikda,8896,3.7,37.0470382,6.4205306,2026-01-28 18:07:40,2026-02-10 18:07:40,Kanoua
66,CL-1596,User_1596,3662,Bilal_3662,Charpentier,Travaux de charpente et structure.,Skikda,12401,3.3,36.8441177,6.929106,2026-01-25 06:53:48,2026-02-03 06:53:48,Hamadi Krouma
67,CL-1606,User_1606,2515,Ali_2515,Menuisier,Fabrication et pose d'ouvrages en bois.,Skikda,2695,4.6,36.8976496,7.0548176,2026-05-24 16:06:32,2026-05-25 16:06:32,Filfila
68,CL-0545,User_0545,3714,Hiba_3714,Esthéticienne à Domicile,Soins esthétiques à domicile.,Skikda,3238,3.9,36.8441177,6.929106,2026-03-17 16:37:45,2026-04-01 16:37:45,Hamadi Krouma
69,CL-1475,User_1475,1874,Samira_1874,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,2534,4.6,36.8003477,6.9805739,2026-02-01 23:10:53,2026-02-26 23:10:53,Beni Bechir
70,CL-1002,User_1002,2184,Dina_2184,Soutien Scolaire,Cours de soutien et accompagnement scolaire.,Skikda,9313,4.2,36.6439118,6.6281274,2026-11-25 23:57:42,2026-11-29 23:57:42,Beni Oulbane
71,CL-1788,User_1788,2480,Karim_2480,Jardinier / Paysagiste,Entretien et aménagement des espaces verts.,Skikda,5037,4.7,36.9124122,6.4762934,2026-07-27 02:30:55,2026-07-30 02:30:55,Beni Zid
72,CL-1918,User_1918,598,Abderrahmane_598,Peintre,Travaux de peinture intérieure et extérieure.,Skikda,5283,4.6,37.0065806,6.5690345,2026-05-31 00:46:25,2026-06-12 00:46:25,Collo
73,CL-0737,User_0737,2223,Manal_2223,Esthéticienne à Domicile,Soins esthétiques à domicile.,Skikda,2665,3.8,36.7331778,7.2219657,2026-10-06 03:28:22,2026-10-10 03:28:22,Aïn Charchar
74,CL-1054,User_1054,1718,Adel_1718,Plâtrier / Staffeur,Finition murale et décoration en plâtre.,Skikda,13376,3.7,36.7792138,7.1724216,2026-04-23 20:54:31,2026-05-01 20:54:31,Djendel Saadi Mohamed
75,CL-1669,User_1669,685,Asma_685,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,10765,3.9,36.8252292,6.8890251,2026-08-30 14:33:45,2026-09-26 14:33:45,El Hadaiek
76,CL-1244,User_1244,1243,Anis_1243,Carreleur,Pose et réparation de carrelage.,Skikda,13592,4.5,36.8361791,6.6427952,2026-01-31 11:16:53,2026-02-05 11:16:53,Tamalous
77,CL-0876,User_0876,4152,Yassine_4152,Dératiseur / Désinsectiseur,Traitement contre nuisibles.,Skikda,11350,3.6,37.0090418,6.2844786,2026-11-25 20:36:41,2026-11-26 20:36:41,Kheneg Mayoum
78,CL-1989,User_1989,3732,Mustapha_3732,Installateur Systèmes Sécurité,"Caméras, alarmes et contrôle d'accès.",Skikda,10479,4.9,36.6514052,6.8360907,2026-11-16 03:58:15,2026-12-14 03:58:15,El Harrouch
79,CL-0875,User_0875,4539,Chaima_4539,Traiteur / Pâtissier,Préparation de plats et pâtisseries.,Skikda,7818,3.1,36.9304439,6.5842202,2026-08-27 09:35:51,2026-08-31 09:35:51,Kerkera
80,CL-0821,User_0821,2559,Walid_2559,Dératiseur / Désinsectiseur,Traitement contre nuisibles.,Skikda,14673,4.7,36.9888886,6.4592299,2026-06-21 22:22:43,2026-07-19 22:22:43,Zitouna
81,CL-1748,User_1748,4716,Ali_4716,Installateur Systèmes Sécurité,"Caméras, alarmes et contrôle d'accès.",Skikda,12159,3.8,36.9949643,6.3424894,2026-11-26 22:01:17,2026-12-24 22:01:17,Ouled Attia
82,CL-1633,User_1633,970,Hiba_970,Nettoyage professionnel (Spécialisé),Nettoyage spécialisé pour particuliers et entreprises.,Skikda,2747,3.2,37.0090418,6.2844786,2026-03-13 22:17:28,2026-03-30 22:17:28,Kheneg Mayoum
83,CL-1111,User_1111,1533,Chafik_1533,Plâtrier / Staffeur,Finition murale et décoration en plâtre.,Skikda,2677,4.3,36.8976496,7.0548176,2026-01-13 05:30:32,2026-01-25 05:30:32,Filfila
84,CL-1402,User_1402,859,Wissal_859,Cosmétiques (Crèmes hydratantes),Fabrication de cosmétiques artisanaux.,Skikda,5255,3.5,36.6514052,6.8360907,2026-04-11 09:27:20,2026-05-10 09:27:20,El Harrouch
85,CL-0399,User_0399,3440,Mounir_3440,Maçon,Travaux de maçonnerie générale.,Skikda,7780,3.9,37.0090418,6.2844786,2026-02-09 14:10:59,2026-03-06 14:10:59,Kheneg Mayoum
86,CL-1548,User_1548,4478,Djamila_4478,Nettoyage professionnel (Spécialisé),Nettoyage spécialisé pour particuliers et entreprises.,Skikda,3834,3.0,36.6939025,7.3105409,2026-05-15 12:44:52,2026-05-30 12:44:52,Bekkouche Lakhdar
87,CL-0669,User_0669,3869,Anis_3869,Vitrailler / Miroitier,Pose et réparation de vitres et miroirs.,Skikda,1995,3.7,36.9124122,6.4762934,2026-05-13 00:50:50,2026-06-05 00:50:50,Beni Zid
88,CL-1308,User_1308,441,Mohamed_441,Étanchéiste,Traitement et protection contre les infiltrations.,Skikda,8660,4.6,36.6514052,6.8360907,2026-02-28 02:49:41,2026-03-11 02:49:41,El Harrouch
89,CL-0506,User_0506,2031,Salim_2031,Menuisier,Fabrication et pose d'ouvrages en bois.,Skikda,8973,3.6,36.8801317,6.9077363,2026-02-25 08:26:22,2026-03-10 08:26:22,Skikda
90,CL-0441,User_0441,2174,Marouane_2174,Menuisier,Fabrication et pose d'ouvrages en bois.,Skikda,4523,3.7,36.7388133,7.1062378,2026-03-25 21:38:40,2026-04-18 21:38:40,Azzaba
91,CL-0434,User_0434,3977,Adem_3977,Jardinier / Paysagiste,Entretien et aménagement des espaces verts.,Skikda,11876,4.2,36.8361791,6.6427952,2026-07-03 23:19:49,2026-07-14 23:19:49,Tamalous
92,CL-0308,User_0308,4456,Chafik_4456,Maçon,Travaux de maçonnerie générale.,Skikda,4875,4.5,36.7082508,6.7042844,2026-02-21 05:59:43,2026-02-27 05:59:43,Sidi Mezghiche
93,CL-0223,User_0223,4812,Meriem_4812,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,13216,4.9,36.7044252,6.8563693,2026-05-06 13:50:58,2026-05-11 13:50:58,Salah Bouchaour
94,CL-1461,User_1461,3311,Malika_3311,Nettoyage professionnel (Spécialisé),Nettoyage spécialisé pour particuliers et entreprises.,Skikda,6257,3.1,36.8441177,6.929106,2026-01-17 07:42:06,2026-01-18 07:42:06,Hamadi Krouma
95,CL-1048,User_1048,3571,Anouar_3571,Installateur Systèmes Sécurité,"Caméras, alarmes et contrôle d'accès.",Skikda,7174,4.3,36.8976496,7.0548176,2026-05-10 08:25:28,2026-05-18 08:25:28,Filfila
96,CL-1357,User_1357,561,Ines_561,Restauration de vêtements,Réparation et retouche de vêtements.,Skikda,6997,4.6,36.8992518,6.7934365,2026-09-04 14:19:04,2026-09-13 14:19:04,Aïn Zouit
97,CL-0148,User_0148,4944,Sami_4944,Charpentier,Travaux de charpente et structure.,Skikda,4867,4.1,36.8801317,6.9077363,2026-01-14 19:22:15,2026-02-13 19:22:15,Skikda
98,CL-0851,User_0851,1612,Mustapha_1612,Chauffagiste,Installation et entretien de chauffage.,Skikda,9414,3.2,36.9124122,6.4762934,2026-07-11 00:50:41,2026-08-08 00:50:41,Beni Zid
99,CL-0702,User_0702,2673,Wafa_2673,Fabrication de parfums,Création artisanale de parfums.,Skikda,5740,4.8,36.5864148,6.9120702,2026-06-29 17:59:57,2026-07-13 17:59:57,Zerdaza
100,CL-0856,User_0856,4968,Sabrina_4968,Coiffure à Domicile,Coiffure à domicile.,Skikda,4558,4.5,36.8081951,6.5668371,2026-08-25 15:08:04,2026-09-07 15:08:04,Bin El Ouiden
101,CL-0633,User_0633,653,Mustapha_653,Piscines (Constructeur/Maintenance),Construction et entretien de piscines.,Skikda,3445,4.5,36.4916761,6.939741,2026-01-12 19:12:21,2026-01-23 19:12:21,Ouled Hbaba
102,CL-0734,User_0734,685,Asma_685,Fabrication de Bougies,Fabrication artisanale de bougies.,Skikda,10765,3.9,36.8252292,6.8890251,2026-08-30 14:33:45,2026-09-26 14:33:45,El Hadaiek
103,CL-0954,User_0954,3961,Ali_3961,Antenniste,Installation et réglage d'antennes.,Skikda,3613,3.5,36.8801317,6.9077363,2026-04-22 09:51:32,2026-05-07 09:51:32,Skikda
104,CL-0174,User_0174,2583,Tarek_2583,Piscines (Constructeur/Maintenance),Construction et entretien de piscines.,Skikda,10270,4.7,36.9124122,6.4762934,2026-03-18 00:22:00,2026-03-27 00:22:00,Beni Zid
105,CL-0611,User_0611,984,Warda_984,Coiffure à Domicile,Coiffure à domicile.,Skikda,4776,4.2,36.8441177,6.929106,2026-05-23 07:15:42,2026-06-21 07:15:42,Hamadi Krouma
106,CL-1423,User_1423,916,Hana_916,Nettoyage professionnel (Spécialisé),Nettoyage spécialisé pour particuliers et entreprises.,Skikda,14628,3.1,36.687176,6.9771347,2026-04-30 15:14:54,2026-05-10 15:14:54,El Ghedir
107,CL-1635,User_1635,2456,Houda_2456,Tapissier / Couturier (Linge de Maison),Confection et rénovation textile.,Skikda,2444,3.1,36.4916761,6.939741,2026-06-03 14:15:29,2026-06-09 14:15:29,Ouled Hbaba
108,CL-0164,User_0164,2750,Selma_2750,Traiteur / Pâtissier,Préparation de plats et pâtisseries.,Skikda,6476,4.7,36.9304439,6.5842202,2026-09-21 04:19:54,2026-09-30 04:19:54,Kerkera
109,CL-1760,User_1760,3757,Ismail_3757,Climatisation / Frigoriste,Pose et maintenance de climatisation.,Skikda,5276,4.4,36.7792138,7.1724216,2026-06-11 14:42:11,2026-06-22 14:42:11,Djendel Saadi Mohamed
110,CL-0863,User_0863,3411,Hamza_3411,Réparation Électroménager,Réparation d'appareils électroménagers.,Skikda,10674,3.5,36.8801317,6.9077363,2026-05-17 13:58:20,2026-05-25 13:58:20,Skikda
111,CL-0622,User_0622,2889,Khaled_2889,Menuisier,Fabrication et pose d'ouvrages en bois.,Skikda,7255,4.9,36.6439118,6.6281274,2026-12-22 23:54:39,2026-12-22 23:54:39,Beni Oulbane
112,CL-1728,User_1728,1407,Dalila_1407,Nettoyage professionnel (Spécialisé),Nettoyage spécialisé pour particuliers et entreprises.,Skikda,10582,3.7,36.9888886,6.4592299,2026-09-01 08:39:25,2026-09-25 08:39:25,Zitouna
113,CL-1577,User_1577,4319,Djamila_4319,Cosmétiques (Crèmes hydratantes),Fabrication de cosmétiques artisanaux.,Skikda,11903,3.5,36.8976496,7.0548176,2026-02-27 22:33:11,2026-03-06 22:33:11,Filfila
114,CL-0765,User_0765,2586,Hocine_2586,Charpentier,Travaux de charpente et structure.,Skikda,2179,3.4,36.8361791,6.6427952,2026-08-02 14:29:54,2026-08-23 14:29:54,Tamalous
115,CL-1169,User_1169,3785,Zohra_3785,Décorateur d'intérieur,Aménagement et décoration intérieure.,Skikda,5531,4.0,37.0310788,7.2566883,2026-08-24 12:37:51,2026-09-08 12:37:51,El Marsa
116,CL-1507,User_1507,4177,Rachid_4177,Piscines (Constructeur/Maintenance),Construction et entretien de piscines.,Skikda,8220,4.3,36.8361791,6.6427952,2026-01-01 11:08:41,2026-01-29 11:08:41,Tamalous
117,CL-1571,User_1571,2282,Yasmine_2282,Décorateur d'intérieur,Aménagement et décoration intérieure.,Skikda,13144,4.3,36.9124122,6.4762934,2026-12-06 22:54:18,2026-12-21 22:54:18,Beni Zid
118,CL-0295,User_0295,4027,Salah_4027,Antenniste,Installation et réglage d'antennes.,Skikda,9438,4.2,37.0090418,6.2844786,2026-11-11 17:47:25,2026-11-24 17:47:25,Kheneg Mayoum
119,CL-1227,User_1227,2008,Anouar_2008,Plâtrier / Staffeur,Finition murale et décoration en plâtre.,Skikda,2675,3.1,36.9304439,6.5842202,2026-06-18 06:18:59,2026-07-16 06:18:59,Kerkera
120,CL-0346,User_0346,3694,Hocine_3694,Piscines (Constructeur/Maintenance),Construction et entretien de piscines.,Skikda,2911,3.2,37.0065806,6.5690345,2026-08-06 09:07:05,2026-08-13 09:07:05,Collo
121,CL-1786,User_1786,2815,Noureddine_2815,Charpentier,Travaux de charpente et structure.,Skikda,2431,3.9,36.8361791,6.6427952,2026-05-06 02:04:53,2026-06-03 02:04:53,Tamalous
122,CL-1048,User_1048,537,Fiza_537,Esthéticienne à Domicile,Soins esthétiques à domicile.,Skikda,2082,4.3,36.4916761,6.939741,2026-11-12 13:01:47,2026-11-28 13:01:47,Ouled Hbaba
123,CL-0888,User_0888,1226,Abderrahmane_1226,Serrurier,"Ouverture, pose et dépannage de serrures.",Skikda,9368,4.2,36.7331778,7.2219657,2026-10-03 12:53:56,2026-10-25 12:53:56,Aïn Charchar
124,CL-1400,User_1400,248,Amira_248,Coiffure à Domicile,Coiffure à domicile.,Skikda,3008,4.6,36.687176,6.9771347,2026-09-21 20:36:04,2026-10-05 20:36:04,El Ghedir
125,CL-1541,User_1541,3140,Hiba_3140,Tapissier / Couturier (Linge de Maison),Confection et rénovation textile.,Skikda,1753,4.8,36.8200545,6.3880209,2026-06-28 11:50:56,2026-07-24 11:50:56,Ouldja Boulballout
126,CL-1250,User_1250,1570,Hichem_1570,Carreleur,Pose et réparation de carrelage.,Skikda,7773,4.3,36.8003477,6.9805739,2026-10-23 16:47:43,2026-11-17 16:47:43,Beni Bechir
127,CL-1940,User_1940,1139,Amira_1139,Aide-Ménagère Spécialisée,Services ménagers spécialisés.,Skikda,8776,3.3,36.9097648,6.3403579,2026-07-21 13:34:42,2026-07-31 13:34:42,Oued Zehour
128,CL-0073,User_0073,4221,Marouane_4221,Charpentier,Travaux de charpente et structure.,Skikda,14986,3.4,36.8801317,6.9077363,2026-02-10 05:34:05,2026-02-17 05:34:05,Skikda
